Experiment,Experimental_batch,Bee_ID,Number,Caste,Queen_source,Developmental_conditions,Weeks_outdoors,Colony_ID,Treatment,Lab_ID,NCBI_Genbank_acession_number,BLAST_date,First_BLAST_match_accession_number,BLAST_match_percentage,Species,Location,Lat_lon,Date_Queen_Collected,Date_Experiment_Start,Bee_weight_g,Time_in_experiment_hours,Mortality,Sucrose_consumed,Sucrose_consumed_per_hour,Dead_bee_weight_g,Weight_change_g,Valid_mort_data,Valid_sucrose_data,Male,Valid_species,Notes
Experiment01,1,12,1x,Worker,Wild,Outdoor,NA,NA,WC,BBP_061,PP933398,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.183,48,0,0.268,0.005583333,0.183,0,1,1,0,0,
Experiment01,1,15,1x,Worker,Wild,Outdoor,NA,NA,WP,BBP_052,PP933389,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.165,48,0,0.581,0.012104167,0.206,-0.041,1,1,0,0,
Experiment01,1,17,1x,Worker,Wild,Outdoor,NA,NA,WP,BBP_084,PP933327,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.175,48,0,0.358,0.007458333,0.196,-0.021,1,1,0,0,
Experiment01,1,48,1x,Worker,Wild,Outdoor,NA,NA,WC,BBP_091,PP933317,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.298,48,0,0.661,0.013770833,0.283,0.015,1,1,0,0,
Experiment01,1,51,1x,Worker,Wild,Outdoor,NA,NA,WP,BBP_009,PP933305,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.169,48,0,0.244,0.005083333,0.197,-0.028,1,1,0,0,
Experiment01,1,56,1x,Worker,Wild,Outdoor,NA,NA,WP,BBP_048,PP933388,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.305,48,0,0.365,0.007604167,0.194,0.111,1,1,0,0,
Experiment01,1,61,1x,Worker,Wild,Outdoor,NA,NA,WC,BBP_030,PP933397,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.22,48,0,0.527,0.010979167,0.235,-0.015,1,1,0,0,
Experiment01,1,64,1x,Worker,Wild,Outdoor,NA,NA,WP,BPP_027,PP933273,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.2,48,0,0.944,0.019666667,0.247,-0.047,1,1,0,0,
Experiment01,1,66,1x,Worker,Wild,Outdoor,NA,NA,WP,BBP_044,PP933372,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.239,48,0,0.492,0.01025,0.25,-0.011,1,1,0,0,
Experiment01,1,70,1x,Worker,Wild,Outdoor,NA,NA,WC,BBP_086,PP933275,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.198,48,0,0.582,0.012125,0.181,0.017,1,1,0,0,
Experiment01,1,212,1x,Worker,Wild,Outdoor,NA,NA,WP,BBP_051,PP933359,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.193,48,0,0.525,0.0109375,0.204,-0.011,1,1,0,0,
Experiment01,1,215,1x,Worker,Wild,Outdoor,NA,NA,WC,BBP_033,PP933396,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Dublin, Colganstown",53.312 N 6.514 W,NA,29-Jun-23,0.183,48,0,0.699,0.0145625,0.139,0.044,1,1,0,0,
Experiment01,2,370,1x,Worker,Wild,Outdoor,NA,NA,WP,BBP_039,PP933384,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Kildare, Kilgowan Cottages",53.057 N 6.769 W,NA,11-Jul-23,0.183,48,0,0.258,0.005375,0.232,-0.049,1,1,0,0,
Experiment01,2,380,1x,Worker,Wild,Outdoor,NA,NA,WC,BBP_135,PP933302,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Kildare, Kilgowan Cottages",53.057 N 6.769 W,NA,11-Jul-23,0.146,48,0,0.254,0.005291667,0.127,0.019,1,1,0,0,
Experiment01,2,384,1x,Worker,Wild,Outdoor,NA,NA,WP,BBP_034,PP933376,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Kildare, Kilgowan Cottages",53.057 N 6.769 W,NA,11-Jul-23,0.301,48,0,0.377,0.007854167,0.285,0.016,1,1,0,0,
Experiment01,2,393,1x,Worker,Wild,Outdoor,NA,NA,WC,BBP_036,PP933393,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Kildare, Kilgowan Cottages",53.057 N 6.769 W,NA,11-Jul-23,0.187,48,0,0.234,0.004875,0.244,-0.057,1,1,0,0,
Experiment01,2,399,1x,Worker,Wild,Outdoor,NA,NA,WP,BBP_023,PP933383,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Kildare, Kilgowan Cottages",53.057 N 6.769 W,NA,11-Jul-23,0.173,16,1,0.044,0.00275,0.136,0.037,1,1,0,0,
Experiment01,2,401,1x,Worker,Wild,Outdoor,NA,NA,WC,BBP_150,PP933294,20-Jun-24,MH992759.1,100,lucorum,"Ireland: County Kildare, Kilgowan Cottages",53.057 N 6.769 W,NA,11-Jul-23,0.153,48,0,0.319,0.006645833,0.222,-0.069,1,1,0,0,
